Date, particules PM2.5 (µg/m³) ,Validation
2023-01-01 0:00,8.3,validée
2023-01-01 1:00,10.7,validée
2023-01-01 2:00,10.1,validée
2023-01-01 3:00,8.8,validée
2023-01-01 4:00,7.8,validée
2023-01-01 5:00,8.6,validée
2023-01-01 6:00,9.1,validée
2023-01-01 7:00,8.5,validée
2023-01-01 8:00,6.8,validée
2023-01-01 9:00,6,validée
2023-01-01 10:00,5.2,validée
2023-01-01 11:00,5.2,validée
2023-01-01 12:00,5,validée
2023-01-01 13:00,4.9,validée
2023-01-01 14:00,4.2,validée
2023-01-01 15:00,4.5,validée
2023-01-01 16:00,5.3,validée
2023-01-01 17:00,8.4,validée
2023-01-01 18:00,8.9,validée
2023-01-01 19:00,9.6,validée
2023-01-01 20:00,9.5,validée
2023-01-01 21:00,10,validée
2023-01-01 22:00,10.3,validée
2023-01-01 23:00,9.3,validée
2023-01-02 0:00,9.3,validée
2023-01-02 1:00,8.9,validée
2023-01-02 2:00,8.4,validée
2023-01-02 3:00,7.1,validée
2023-01-02 4:00,5.3,validée
2023-01-02 5:00,4.8,validée
2023-01-02 6:00,4.1,validée
2023-01-02 7:00,3.6,validée
2023-01-02 8:00,4.1,validée
2023-01-02 9:00,4.1,validée
2023-01-02 10:00,4.4,validée
2023-01-02 11:00,4.9,validée
2023-01-02 12:00,5.9,validée
2023-01-02 13:00,7.3,validée
2023-01-02 14:00,8.4,validée
2023-01-02 15:00,13.6,validée
2023-01-02 16:00,13.6,validée
2023-01-02 17:00,18.6,validée
2023-01-02 18:00,20.9,validée
2023-01-02 19:00,12.2,validée
2023-01-02 20:00,12.6,validée
2023-01-02 21:00,15,validée
2023-01-02 22:00,24,validée
2023-01-02 23:00,18.6,validée
2023-01-03 0:00,18.2,validée
2023-01-03 1:00,15.2,validée
2023-01-03 2:00,17.5,validée
2023-01-03 3:00,20.5,validée
2023-01-03 4:00,23.7,validée
2023-01-03 5:00,20.6,validée
2023-01-03 6:00,25.1,validée
2023-01-03 7:00,20.8,validée
2023-01-03 8:00,19.8,validée
2023-01-03 9:00,16,validée
2023-01-03 10:00,19.3,validée
2023-01-03 11:00,21.9,validée
2023-01-03 12:00,22.4,validée
2023-01-03 13:00,14,validée
2023-01-03 14:00,13.3,validée
2023-01-03 15:00,9.3,validée
2023-01-03 16:00,10,validée
2023-01-03 17:00,11.1,validée
2023-01-03 18:00,12.8,validée
2023-01-03 19:00,15.6,validée
2023-01-03 20:00,18.6,validée
2023-01-03 21:00,18.8,validée
2023-01-03 22:00,18.7,validée
2023-01-03 23:00,19.9,validée
2023-01-04 0:00,20.6,validée
2023-01-04 1:00,17,validée
2023-01-04 2:00,15.1,validée
2023-01-04 3:00,14.6,validée
2023-01-04 4:00,13.2,validée
2023-01-04 5:00,11.6,validée
2023-01-04 6:00,8.2,validée
2023-01-04 7:00,3.5,validée
2023-01-04 8:00,3.1,validée
2023-01-04 9:00,3.6,validée
2023-01-04 10:00,4.8,validée
